qualidade,pontualidade,empresa
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Sim,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Nao,Gabicks
Boa,Sim,Gabicks
Boa,Nao,Gabicks
Ruim,Sim,Gabicks
Boa,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Sim,Gabicks
Boa,Sim,Gabicks
Ruim,Sim,Gabicks
Ruim,Nao,Gabicks
Boa,Nao,Gabicks
Regular,Nao,Gabicks
Regular,Sim,Gabicks
Ruim,Nao,Gabicks
Ruim,Sim,Gabicks
Regular,Nao,Gabicks
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
